word,Composition_types,PoS,N_of_component,PoS_1component,PoS_2component,X1810s,X1820s,X1830s,X1840s,X1850s,X1860s,X1870s,X1880s,X1890s,X1900s,X1910s,X1920s,X1930s,X1940s,X1950s,X1960s,X1970s,X1980s,X1990s,X2000s,total
teen-age,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.19,5.66,7.88,6.09,5.02,1.61,0.17,27.74
man-made,so,adj,2,noun,V-ed,0,0,0,0.06,0.06,0.06,0.32,0.2,0.1,0.63,1.85,1.6,1.46,2.87,3.42,2.29,3.23,3.48,2.93,3.04,27.62
make-believe,co,noun,2,v,v,0,0,0.15,0.5,0.49,0.47,1.24,0.84,1.02,1.72,1.72,3.16,1.06,1.77,2.36,2.71,1.55,1.3,3.36,1.89,27.3
life-blood,rh,adj,2,noun,noun,5.08,1.3,3.48,4.24,2.67,2.46,1.62,2.12,1.02,0.77,0.75,0.58,0.28,0.25,0.29,0,0.17,0.08,0.11,0,27.26
one-time,rh,adj,2,num,noun,0,0,0,0,0,0,0,0,0.44,1,1.28,1.99,2.44,2.38,2.16,1.75,2.9,2.8,3.61,4.43,27.18
half-century,rh,adj,2,det,noun,0,0.29,0.51,0.75,1.82,1.41,0.43,0.84,2.14,2.81,1.67,1.01,1.1,0.62,1.75,1.67,1.18,1.74,2.29,2.6,26.61
pent-up,rh,adj,2,v,adv,0,0.14,0.8,0.69,1.76,2.52,1.72,1.67,1.84,1.63,1.67,1.72,1.3,1.89,1.18,1.04,1.05,1.5,1.29,1.01,26.44
follow-up,rh,adj,2,v,adv,0,0,0,0,0,0,0,0,0,0,0.26,0.35,0.53,1.11,1.59,3,2.52,4.11,6.37,6.6,26.44
never-ending,rh,adj,2,adv,V-ing,1.69,1.01,1.31,0.81,0.79,1.52,1.24,1.48,1.17,0.68,1.45,1.75,1.67,1.03,0.57,1.33,1.43,1.07,2.15,2.27,26.41
men-at-arms,so,noun,3,,,3.39,1.15,0.44,6.29,3.46,0.59,1.02,0.25,1.46,1.49,0.35,0.27,0.85,0.37,1.14,0.29,1.22,1.42,0.21,0.68,26.35
subject-matter,rh,adj,2,noun,noun,0.85,0,0.65,0.81,3.1,1,2.32,0.64,1.17,4.16,3.39,2.88,1.5,0.57,0.94,0.5,1.13,0.2,0.25,0.07,26.13
tender-hearted,rh,adj,2,adj,N-ed,8.47,1.73,1.67,0.93,1.76,1.64,2.32,2.02,1.17,1.13,1.59,0.66,0.45,0.21,0.04,0.04,0.04,0.08,0.07,0.07,26.08
high-speed,rh,adj,2,adj,noun,0,0,0,0,0,0,0,0,0.15,0.41,0.44,0.66,1.3,2.3,2.36,3.09,1.72,3.71,3.76,6.05,25.95
heart-broken,so,adj,2,noun,V-ed,1.69,1.88,2.32,2.06,2.43,2.76,3.93,3.15,1.8,1.45,0.88,0.47,0.28,0.33,0.12,0.04,0.08,0,0,0.03,25.7
machine-gun,rh,adj,2,noun,noun,0,0,0,0,0,0,0,0,0,0.27,2.33,1.64,3.54,6.69,2.24,2.5,1.6,1.42,1.32,1.93,25.49
cross-legged,rh,adj,2,prep,N-ed,0,0.14,0.29,1.43,0.36,0.29,0.59,0.34,0.63,0.54,1.19,1.44,1.22,1.36,2.08,2.5,2.65,2.25,2.83,3.31,25.46
long-suffering,so,adj,2,adj,V-ing,1.69,1.15,1.38,0.62,1.34,1.64,1.89,1.38,1.46,1.09,1.37,0.97,1.14,1.36,1.79,1.13,0.92,1.07,0.79,1.22,25.38
all-powerful,so,adj,2,det,adj,0.85,1.59,0.94,0.93,1.46,1.17,2.26,1.48,1.75,1.49,1.32,1.01,1.14,1.19,1.3,1.08,1.3,1.54,0.97,0.54,25.32
all-time,rh,adj,2,det,noun,0,0,0,0,0,0,0,0,0.05,0,0,0.12,2.28,2.59,3.26,1.88,2.56,3.56,4.29,4.73,25.31
fine-looking,so,adj,2,adj,V-ing,0,0,1.89,1.68,3.1,2.58,2.69,1.92,2.62,1.45,1.32,1.01,0.69,0.57,0.73,0.79,0.55,0.79,0.32,0.54,25.25
bright-eyed,rh,adj,2,adj,N-ed,0.85,0.14,1.38,1.62,1.82,1.35,1.94,1.58,1.65,1.09,1.19,1.25,0.77,1.36,1.79,1.38,1.3,0.99,0.89,0.91,25.24
high-spirited,rh,adj,2,adj,N-ed,0.85,1.15,2.03,1.62,3.16,1.93,1.83,1.03,1.84,1.27,1.23,1.13,0.73,0.9,0.98,0.46,0.63,0.99,0.5,0.78,25.06
red-headed,rh,adj,2,adj,N-ed,0,0,0.73,0.5,0.55,1,0.48,1.23,1.7,2.49,3.66,3.12,3.09,1.36,2,1,0.67,0.47,0.36,0.41,24.8
blood-stained,so,adj,2,noun,V-ed,2.54,1.3,2.83,2.74,1.21,1.7,1.78,0.94,1.89,1.18,1.32,1.21,0.85,0.49,0.33,0.29,0.71,0.59,0.61,0.24,24.76
long-lost,so,adj,2,adj,V-ed,2.54,0.87,1.74,1.68,1.4,1.47,1.89,0.98,1.12,1,0.79,0.82,0.77,0.82,1.02,0.83,0.84,1.34,1.47,1.35,24.74
